ai_budget_percentage,revenue_growth_percent,industry,company_size,region,ai_adoption_stage
13.55,5.8,Education,Enterprise,Europe,partial
7.17,2.94,Manufacturing,Startup,Africa,pilot
0.11,7.34,Retail,SME,Africa,pilot
15.62,13.18,Agriculture,Enterprise,Oceania,partial
4.54,2.97,Consulting,Startup,Europe,pilot
8.31,8.04,Logistics,Enterprise,North America,pilot
10.01,9.08,Technology,Enterprise,South America,pilot
11.76,7.65,Manufacturing,Enterprise,Europe,partial
13.58,4.94,Logistics,Startup,Asia,partial
2.39,-3.63,Consulting,Startup,Asia,pilot
8.74,13.74,Education,SME,Asia,partial
12.18,10.26,Healthcare,Startup,Europe,partial
11.3,2.63,Technology,Enterprise,Asia,pilot
3.97,2.63,Technology,Startup,South America,pilot
12.43,-0.16,Retail,Startup,Europe,partial
4.23,3.84,Retail,Startup,Africa,pilot
8.29,7.56,Finance,Startup,Asia,pilot
3.26,7.8,Agriculture,Startup,Europe,none
7.11,13.45,Agriculture,Startup,Africa,pilot
7.73,5.13,Logistics,Startup,South America,pilot
7.21,3.8,Logistics,Startup,Europe,pilot
12.69,11.07,Manufacturing,SME,Europe,partial
7.08,-3.36,Consulting,SME,Asia,pilot
8.15,1.51,Consulting,SME,South America,partial
17.34,7.29,Healthcare,SME,Europe,partial
9.36,6.23,Technology,Startup,Africa,partial
5.82,-5.0,Agriculture,Startup,South America,pilot
4.85,3.51,Healthcare,Startup,South America,pilot
5.03,3.84,Manufacturing,Startup,Oceania,pilot
2.57,5.42,Education,SME,Africa,pilot
9.62,5.58,Education,Enterprise,Europe,partial
13.91,2.71,Technology,Enterprise,Europe,partial
6.54,9.99,Agriculture,Enterprise,Asia,pilot
5.77,-3.48,Logistics,Startup,Asia,partial
6.77,3.84,Agriculture,Startup,Africa,pilot
6.8,-2.78,Technology,Startup,Asia,pilot
11.35,-0.18,Education,Enterprise,Africa,partial
12.44,4.72,Manufacturing,SME,Asia,partial
16.32,4.5,Agriculture,Enterprise,Europe,full
4.57,8.74,Technology,Startup,Africa,pilot
13.68,0.38,Finance,SME,Asia,partial
3.1,3.98,Education,SME,Asia,pilot
3.89,-5.0,Consulting,Startup,Asia,pilot
4.98,0.7,Education,Enterprise,Asia,none
10.16,-2.84,Education,Startup,South America,pilot
14.47,12.76,Logistics,SME,Oceania,partial
13.61,10.12,Finance,Startup,Asia,partial
11.54,12.26,Education,SME,Asia,partial
19.81,12.68,Education,Enterprise,Asia,partial
7.0,-5.0,Logistics,SME,Africa,pilot
10.24,-1.7,Logistics,SME,Europe,partial
3.25,-1.35,Education,Enterprise,Europe,pilot
7.03,-5.0,Finance,Startup,Asia,pilot
12.16,0.02,Agriculture,SME,Asia,partial
11.26,4.8,Retail,Startup,Oceania,partial
8.57,10.81,Healthcare,SME,Asia,pilot
3.45,-2.74,Consulting,Startup,Africa,pilot
20.42,2.75,Finance,Enterprise,Asia,full
7.08,-5.0,Retail,SME,North America,pilot
6.81,6.61,Manufacturing,SME,Asia,partial
5.87,21.91,Agriculture,Enterprise,Europe,partial
6.48,0.22,Retail,Startup,Europe,pilot
11.69,10.53,Technology,Enterprise,Africa,partial
6.03,14.24,Retail,SME,Asia,pilot
5.25,1.53,Healthcare,Startup,Europe,partial
12.64,13.52,Technology,Enterprise,Europe,partial
3.83,9.64,Manufacturing,SME,South America,pilot
15.06,2.28,Technology,SME,South America,partial
8.51,-5.0,Retail,Startup,South America,pilot
14.28,1.96,Agriculture,Enterprise,Europe,partial
10.46,9.17,Technology,Startup,North America,partial
4.11,9.11,Retail,Startup,Asia,pilot
3.63,6.15,Retail,SME,Europe,pilot
12.38,2.1,Education,SME,Asia,partial
3.98,2.2,Healthcare,Startup,Africa,pilot
10.73,1.95,Healthcare,SME,South America,pilot
12.87,11.98,Consulting,Enterprise,South America,partial
13.92,8.72,Technology,Startup,Asia,pilot
6.47,-5.0,Education,Startup,Asia,pilot
2.56,0.17,Healthcare,SME,Europe,pilot
10.19,6.03,Agriculture,Enterprise,Africa,partial
11.41,13.62,Healthcare,Enterprise,Asia,partial
5.91,-1.59,Retail,SME,Asia,pilot
16.62,11.56,Finance,SME,North America,partial
5.12,-2.09,Healthcare,SME,Asia,pilot
12.0,-2.04,Logistics,Enterprise,Asia,partial
10.87,-0.24,Finance,SME,Asia,pilot
10.77,7.21,Finance,SME,Africa,partial
12.04,1.69,Agriculture,SME,Asia,partial
9.18,1.53,Technology,Startup,Asia,pilot
12.42,7.62,Technology,SME,Asia,partial
5.28,-2.77,Finance,Startup,Europe,pilot
9.69,-5.0,Retail,SME,Asia,pilot
10.57,2.44,Agriculture,Startup,Africa,pilot
6.22,11.5,Finance,Startup,Europe,pilot
9.89,3.34,Finance,Enterprise,Asia,partial
7.2,0.71,Finance,Startup,Europe,pilot
12.11,-1.69,Manufacturing,Enterprise,Asia,pilot
4.25,-4.85,Logistics,SME,Asia,pilot
13.01,13.92,Technology,Enterprise,Africa,partial
12.97,7.36,Technology,SME,Asia,full
12.79,3.42,Retail,Enterprise,Asia,partial
6.23,-5.0,Education,SME,Asia,pilot
11.67,7.63,Healthcare,Enterprise,Asia,partial
11.8,11.98,Technology,SME,Asia,pilot
11.55,7.02,Retail,SME,Asia,partial
4.39,0.76,Retail,Startup,Africa,none
5.62,6.47,Manufacturing,Startup,Oceania,pilot
9.55,6.25,Finance,SME,Europe,partial
8.93,8.61,Logistics,Enterprise,Europe,pilot
5.26,7.46,Logistics,Enterprise,Europe,pilot
9.3,6.98,Education,SME,Europe,partial
5.75,9.95,Consulting,SME,Europe,pilot
7.19,-3.25,Manufacturing,SME,Europe,pilot
10.28,-0.23,Consulting,SME,Africa,pilot
9.69,15.71,Retail,Startup,Europe,partial
4.99,2.25,Logistics,SME,Oceania,partial
13.61,-5.0,Agriculture,Enterprise,Africa,partial
11.61,10.1,Retail,Startup,Europe,partial
22.52,5.79,Technology,Enterprise,Asia,full
8.8,2.0,Consulting,Startup,Asia,pilot
0.05,9.86,Agriculture,Startup,Asia,pilot
9.65,-0.79,Education,Startup,South America,partial
16.66,7.68,Agriculture,Startup,Asia,partial
11.56,8.87,Technology,SME,Europe,partial
6.84,9.35,Healthcare,Startup,Africa,partial
6.32,12.92,Healthcare,Startup,South America,partial
5.64,1.25,Retail,SME,Africa,partial
11.42,7.32,Logistics,Startup,Asia,partial
12.59,0.44,Agriculture,Enterprise,Europe,pilot
6.27,6.95,Retail,SME,Europe,pilot
5.71,6.95,Agriculture,SME,South America,pilot
13.58,7.97,Retail,SME,Europe,partial
10.66,6.14,Agriculture,Enterprise,Africa,partial
11.39,9.5,Logistics,SME,Oceania,partial
3.24,6.45,Consulting,SME,Asia,pilot
10.48,5.77,Retail,SME,Africa,partial
10.92,5.96,Healthcare,Enterprise,Europe,partial
4.86,-0.25,Retail,Startup,Asia,pilot
14.98,3.62,Finance,Startup,Europe,partial
6.12,6.88,Agriculture,SME,Asia,partial
18.83,2.46,Technology,SME,Asia,partial
10.47,1.96,Agriculture,SME,Oceania,pilot
9.01,14.9,Healthcare,SME,South America,partial
12.88,-2.78,Manufacturing,Enterprise,Africa,partial
9.38,-0.23,Consulting,SME,Africa,pilot
5.97,-5.0,Consulting,SME,Europe,partial
11.38,4.08,Healthcare,Startup,Asia,pilot
7.14,-2.52,Retail,Startup,Oceania,partial
15.04,8.14,Technology,SME,South America,partial
10.68,4.34,Manufacturing,SME,Europe,partial
9.53,1.67,Education,SME,South America,pilot
8.24,6.01,Healthcare,Startup,Asia,pilot
16.84,6.98,Education,Enterprise,South America,partial
13.56,10.17,Finance,SME,Oceania,partial
8.03,2.09,Manufacturing,SME,Africa,pilot
1.4,-0.7,Logistics,SME,South America,none
11.33,2.91,Agriculture,SME,North America,partial
8.21,5.24,Retail,Startup,Asia,pilot
1.85,2.14,Consulting,Enterprise,Europe,pilot
5.12,3.21,Retail,Startup,Asia,pilot
6.49,1.9,Manufacturing,Enterprise,Asia,pilot
19.88,5.96,Technology,Startup,South America,partial
4.97,10.63,Agriculture,Startup,Africa,pilot
7.32,11.96,Manufacturing,SME,North America,pilot
9.01,7.81,Retail,Enterprise,Asia,partial
7.4,-3.59,Finance,Startup,Europe,pilot
9.16,2.46,Consulting,SME,North America,partial
7.59,11.89,Logistics,SME,Europe,partial
8.7,-1.0,Consulting,Startup,Asia,pilot
19.26,2.54,Technology,Enterprise,Asia,partial
9.87,8.88,Healthcare,Startup,South America,partial
2.76,4.62,Manufacturing,Startup,Africa,pilot
6.28,-4.84,Manufacturing,Startup,Europe,partial
10.98,4.77,Agriculture,Startup,North America,partial
9.75,2.47,Manufacturing,Startup,Oceania,partial
9.04,7.94,Technology,Enterprise,Oceania,partial
6.51,-1.15,Retail,Startup,Europe,pilot
10.07,7.65,Healthcare,Startup,Asia,partial
5.45,5.98,Education,SME,Europe,partial
4.3,1.09,Healthcare,Startup,Europe,pilot
6.88,-4.9,Logistics,SME,Asia,pilot
9.73,0.93,Technology,Enterprise,Africa,partial
5.81,-1.04,Education,Startup,South America,partial
6.67,4.23,Education,Startup,Asia,partial
6.27,3.95,Education,SME,Europe,pilot
6.85,5.27,Manufacturing,Enterprise,Asia,pilot
6.84,-1.42,Manufacturing,SME,Europe,pilot
12.37,3.4,Technology,SME,Africa,pilot
10.18,1.93,Education,Enterprise,Europe,partial
7.45,3.52,Agriculture,Startup,South America,pilot
5.59,0.42,Retail,Startup,Europe,pilot
6.71,8.93,Finance,Startup,Africa,partial
10.35,-0.1,Retail,SME,Europe,pilot
5.06,-1.03,Agriculture,Startup,Asia,pilot
12.64,-5.0,Consulting,SME,Europe,partial
13.32,11.31,Logistics,Startup,Europe,pilot
12.59,5.37,Finance,SME,North America,partial
8.13,1.6,Healthcare,Startup,Africa,partial
10.98,12.08,Healthcare,Enterprise,Asia,partial
11.99,8.05,Consulting,Startup,Oceania,partial
10.38,4.09,Healthcare,Startup,Asia,partial
9.14,-0.57,Technology,Startup,Europe,pilot
10.28,-3.38,Education,SME,North America,partial
1.85,-2.83,Agriculture,Startup,Asia,none
7.78,-4.71,Retail,Enterprise,North America,pilot
8.5,3.13,Logistics,Startup,Europe,partial
15.87,2.39,Technology,Enterprise,Europe,partial
11.93,11.76,Technology,SME,Oceania,partial
7.48,0.08,Finance,SME,Europe,pilot
9.95,1.25,Education,Startup,Asia,partial
12.27,1.46,Logistics,SME,Africa,partial
13.26,10.43,Consulting,Startup,South America,partial
8.39,-3.72,Education,Enterprise,Europe,pilot
5.03,4.02,Finance,Startup,South America,pilot
1.07,2.74,Healthcare,SME,Asia,none
14.09,12.84,Technology,Enterprise,Asia,partial
9.69,5.22,Agriculture,Enterprise,Africa,partial
10.95,5.22,Retail,Enterprise,South America,partial
11.05,4.76,Logistics,Startup,Asia,partial
13.05,5.97,Logistics,Startup,Oceania,partial
7.09,8.43,Agriculture,SME,Oceania,pilot
7.88,-2.6,Agriculture,SME,North America,pilot
3.44,2.05,Agriculture,SME,Asia,pilot
17.61,11.1,Finance,SME,Europe,partial
11.7,7.17,Finance,SME,North America,partial
9.17,-2.56,Finance,Startup,Europe,partial
8.39,5.57,Consulting,SME,Asia,pilot
3.07,4.82,Consulting,SME,North America,pilot
8.86,1.44,Manufacturing,SME,Africa,partial
9.5,4.24,Finance,SME,Europe,pilot
7.42,12.16,Healthcare,Startup,Asia,partial
13.22,13.59,Technology,SME,Asia,partial
7.24,8.9,Retail,SME,North America,partial
5.41,-0.42,Agriculture,SME,Asia,none
3.54,-5.0,Retail,Startup,Asia,none
11.93,7.18,Manufacturing,SME,North America,partial
11.04,5.55,Retail,Enterprise,Europe,pilot
6.49,-3.17,Finance,Startup,Asia,pilot
5.42,-4.43,Manufacturing,Startup,Europe,pilot
15.19,3.75,Technology,Enterprise,South America,partial
14.81,0.97,Education,SME,North America,full
9.57,11.28,Finance,Startup,Africa,partial
5.29,3.67,Retail,Startup,Asia,pilot
4.93,15.95,Finance,SME,Europe,partial
6.34,-5.0,Retail,Startup,Asia,pilot
8.3,13.03,Agriculture,Startup,Africa,pilot
14.24,-3.2,Agriculture,SME,South America,partial
15.0,7.12,Education,Enterprise,Africa,partial
6.54,4.46,Logistics,SME,North America,pilot
6.15,3.77,Technology,SME,North America,pilot
3.17,9.96,Logistics,SME,Europe,none
7.24,-1.82,Logistics,Startup,Europe,pilot
3.54,7.56,Manufacturing,Startup,South America,pilot
11.26,2.94,Education,Startup,Europe,partial
3.24,16.73,Finance,SME,Africa,partial
11.55,9.78,Technology,SME,Europe,pilot
7.05,-2.12,Finance,Enterprise,South America,partial
11.75,6.21,Education,Enterprise,Africa,pilot
0.0,5.09,Healthcare,SME,Europe,none
20.03,11.47,Technology,Enterprise,South America,partial
5.13,-5.0,Retail,Startup,Africa,pilot
6.62,-2.76,Finance,Startup,Europe,pilot
7.93,2.9,Education,Startup,Africa,pilot
0.0,2.97,Healthcare,Startup,Asia,pilot
4.94,-5.0,Education,SME,Asia,partial
11.14,6.36,Agriculture,SME,Europe,pilot
11.68,2.3,Consulting,Startup,Europe,pilot
8.77,7.69,Logistics,Startup,Asia,pilot
9.03,4.41,Education,SME,Africa,partial
9.61,11.92,Healthcare,SME,Europe,partial
8.48,-0.55,Healthcare,SME,Europe,pilot
8.57,4.9,Consulting,SME,Europe,partial
11.49,-1.33,Technology,Startup,Asia,partial
11.66,15.22,Finance,Enterprise,Asia,partial
9.96,8.65,Retail,Enterprise,Africa,pilot
7.51,-5.0,Retail,Startup,Asia,pilot
11.79,-0.33,Manufacturing,SME,Oceania,partial
4.27,7.85,Retail,Startup,Europe,pilot
7.49,9.66,Logistics,Enterprise,Europe,partial
6.35,1.97,Technology,Enterprise,Asia,pilot
6.53,8.79,Retail,SME,Africa,partial
6.55,-2.67,Finance,Startup,South America,pilot
7.86,2.07,Logistics,SME,Africa,partial
8.25,4.97,Education,Enterprise,Europe,partial
0.79,4.93,Retail,Startup,Asia,pilot
14.52,3.58,Manufacturing,Enterprise,North America,partial
11.18,3.25,Technology,SME,Asia,partial
10.39,3.82,Logistics,Startup,Europe,partial
3.86,10.58,Healthcare,Startup,South America,pilot
6.57,5.83,Logistics,SME,South America,pilot
4.15,1.75,Manufacturing,Startup,North America,pilot
2.32,-0.05,Agriculture,SME,Africa,pilot
5.26,-5.0,Manufacturing,Startup,South America,pilot
12.04,14.1,Healthcare,SME,South America,partial
11.7,17.1,Retail,SME,Oceania,pilot
6.58,2.2,Consulting,SME,Oceania,none
10.43,8.64,Agriculture,Startup,Europe,pilot
10.28,-2.64,Education,Startup,Europe,partial
8.26,9.7,Consulting,Enterprise,Africa,partial
12.02,1.25,Education,Enterprise,Asia,partial
12.32,5.63,Manufacturing,Startup,North America,partial
1.27,0.65,Retail,Startup,Europe,pilot
9.41,2.09,Technology,Enterprise,South America,pilot
8.56,1.22,Healthcare,Startup,Europe,pilot
10.33,4.15,Finance,Startup,South America,pilot
7.17,0.05,Logistics,SME,Europe,pilot
11.58,-0.15,Finance,Startup,North America,partial
11.06,-5.0,Healthcare,Startup,Asia,pilot
18.2,13.43,Technology,SME,Africa,full
3.66,-1.79,Agriculture,SME,Asia,none
9.11,12.8,Technology,Startup,Europe,partial
8.14,2.28,Logistics,Startup,Oceania,pilot
6.74,-5.0,Education,Startup,Asia,pilot
10.76,14.47,Technology,SME,North America,partial
13.12,-1.41,Agriculture,SME,Europe,partial
8.11,9.56,Manufacturing,Enterprise,Asia,pilot
13.02,3.16,Consulting,Startup,Asia,partial
11.94,5.07,Agriculture,SME,Asia,partial
13.94,9.8,Technology,Enterprise,Oceania,partial
7.34,11.08,Retail,Startup,North America,pilot
13.85,9.94,Healthcare,Startup,Europe,partial
10.98,6.8,Agriculture,Enterprise,North America,pilot
8.22,8.32,Healthcare,Startup,Asia,partial
10.42,1.89,Education,Startup,Asia,pilot
11.71,4.95,Logistics,Enterprise,Asia,partial
6.14,1.01,Agriculture,Startup,Africa,none
2.89,4.45,Finance,SME,Africa,none
4.53,10.45,Education,Enterprise,Africa,pilot
7.77,3.99,Logistics,SME,Africa,pilot
10.07,10.64,Healthcare,SME,South America,partial
14.39,16.33,Retail,SME,Asia,partial
20.26,16.49,Technology,Enterprise,Oceania,partial
16.04,6.46,Technology,Enterprise,Asia,partial
5.75,-5.0,Logistics,Startup,Europe,pilot
7.39,3.91,Logistics,Startup,Europe,partial
14.45,-1.51,Healthcare,Enterprise,Asia,partial
8.47,5.88,Manufacturing,SME,South America,partial
11.11,-4.67,Retail,SME,Asia,partial
8.71,6.29,Logistics,Enterprise,Asia,partial
18.13,3.71,Manufacturing,Enterprise,Europe,partial
8.67,9.67,Education,SME,South America,partial
9.09,3.2,Logistics,SME,Asia,pilot
13.71,-3.39,Education,Startup,Africa,partial
5.25,-2.97,Finance,SME,Africa,pilot
6.13,7.18,Retail,Startup,Europe,pilot
5.63,-0.22,Healthcare,Enterprise,Asia,pilot
15.07,8.56,Technology,SME,Asia,partial
19.53,4.98,Finance,SME,Asia,partial
10.54,4.6,Finance,SME,Europe,partial
6.69,-0.25,Education,SME,Asia,partial
12.02,-0.66,Manufacturing,SME,Europe,partial
7.79,-4.73,Logistics,SME,Asia,partial
7.56,4.41,Retail,Enterprise,Africa,partial
10.47,-3.81,Finance,Startup,Africa,pilot
6.48,-0.08,Education,SME,Asia,pilot
12.6,10.73,Consulting,SME,South America,partial
12.26,-3.06,Manufacturing,Enterprise,Asia,partial
8.75,3.47,Agriculture,SME,South America,pilot
17.36,6.13,Technology,Enterprise,Europe,partial
8.98,7.16,Logistics,Startup,Africa,partial
9.65,4.72,Consulting,Startup,Asia,partial
7.38,7.8,Retail,Startup,Asia,partial
5.84,-2.11,Retail,SME,Africa,pilot
19.36,8.4,Technology,Enterprise,Europe,partial
8.28,7.56,Finance,SME,Asia,partial
16.56,11.58,Consulting,SME,Oceania,partial
6.76,1.75,Logistics,Startup,North America,pilot
13.9,0.1,Retail,Enterprise,Europe,partial
3.53,-1.01,Retail,SME,North America,pilot
16.11,15.1,Logistics,Enterprise,Europe,partial
7.9,13.08,Healthcare,Startup,South America,partial
7.49,1.68,Manufacturing,Startup,Europe,partial
11.26,10.46,Manufacturing,Enterprise,Asia,partial
10.35,5.22,Finance,Startup,North America,partial
11.61,1.32,Retail,Enterprise,Asia,partial
14.39,7.62,Manufacturing,Enterprise,Asia,partial
12.91,12.17,Healthcare,Enterprise,Asia,partial
8.46,19.06,Manufacturing,SME,Oceania,partial
14.35,-2.2,Healthcare,Enterprise,Europe,partial
6.56,5.84,Technology,SME,Asia,pilot
9.86,-0.78,Manufacturing,SME,Africa,pilot
9.62,1.9,Agriculture,Startup,North America,partial
6.87,12.17,Manufacturing,Enterprise,Europe,partial
2.88,-0.93,Education,SME,Europe,none
10.84,5.7,Logistics,Enterprise,Asia,partial
10.87,2.95,Finance,SME,Africa,partial
9.69,8.27,Education,SME,South America,partial
6.01,1.38,Healthcare,Startup,Asia,pilot
10.99,6.65,Manufacturing,SME,Europe,pilot
12.76,13.21,Logistics,Startup,Europe,partial
16.34,5.32,Agriculture,SME,North America,partial
10.86,12.04,Finance,SME,Asia,partial
2.49,6.22,Retail,Startup,Asia,pilot
6.46,1.19,Finance,SME,Africa,pilot
8.19,15.83,Retail,Startup,Asia,partial
6.96,4.35,Education,SME,Asia,partial
7.66,9.84,Retail,SME,Europe,pilot
8.29,1.97,Healthcare,SME,Oceania,partial
7.48,7.38,Retail,SME,South America,pilot
8.67,1.37,Logistics,Startup,Europe,pilot
5.93,4.39,Technology,Startup,Asia,pilot
10.84,0.52,Education,SME,South America,partial
10.88,-5.0,Education,Startup,Africa,pilot
7.66,6.7,Education,Enterprise,Europe,pilot
6.25,4.75,Healthcare,SME,Africa,partial
11.63,7.79,Technology,SME,Europe,partial
6.82,-4.62,Retail,SME,Europe,partial
15.08,9.66,Retail,Enterprise,Africa,partial
11.84,3.42,Agriculture,SME,Asia,partial
11.06,0.28,Education,Startup,Asia,partial
9.5,3.65,Finance,Enterprise,Asia,pilot
9.29,10.3,Agriculture,SME,Asia,partial
10.63,10.1,Education,SME,Asia,partial
10.03,14.84,Healthcare,SME,Asia,partial
13.21,11.16,Technology,SME,South America,partial
15.81,3.84,Consulting,Enterprise,South America,partial
10.69,2.16,Finance,Startup,South America,partial
11.18,5.39,Healthcare,Startup,Europe,partial
2.79,4.49,Retail,SME,Asia,pilot
6.27,9.1,Consulting,SME,South America,pilot
9.13,10.37,Healthcare,Startup,Asia,partial
2.61,10.78,Education,SME,South America,pilot
11.65,-1.76,Logistics,Enterprise,Europe,partial
15.93,-1.98,Consulting,Startup,Asia,partial
13.52,16.22,Logistics,SME,Europe,partial
13.34,-0.72,Healthcare,Startup,South America,pilot
7.28,3.81,Finance,SME,Asia,pilot
12.7,7.5,Technology,Startup,South America,partial
6.86,3.9,Logistics,SME,Asia,partial
8.9,1.79,Healthcare,SME,Asia,pilot
12.61,5.22,Finance,Startup,Europe,partial
11.97,1.03,Education,SME,South America,partial
8.44,11.34,Logistics,Startup,Asia,partial
2.11,2.16,Consulting,SME,Asia,none
9.04,5.61,Technology,Startup,Oceania,partial
12.22,11.39,Manufacturing,Startup,Africa,partial
6.15,0.22,Retail,Enterprise,Africa,pilot
7.13,18.38,Finance,SME,Asia,partial
5.24,-3.01,Agriculture,Startup,Europe,pilot
12.05,-1.07,Technology,Startup,Asia,partial
8.58,7.12,Healthcare,Startup,Asia,partial
14.06,17.71,Healthcare,Startup,North America,partial
10.83,8.33,Logistics,Enterprise,North America,partial
2.91,-3.74,Healthcare,Startup,Asia,none
4.74,-3.71,Healthcare,Enterprise,Europe,pilot
10.99,8.89,Consulting,SME,Europe,pilot
6.62,6.07,Finance,Enterprise,Asia,pilot
6.39,-2.65,Healthcare,Enterprise,Europe,pilot
2.82,-2.65,Manufacturing,Startup,Asia,pilot
11.03,3.38,Retail,SME,Africa,partial
11.31,9.69,Technology,SME,Oceania,partial
9.89,-0.16,Healthcare,SME,Europe,pilot
13.59,9.44,Education,Enterprise,South America,partial
15.39,8.25,Technology,Enterprise,Europe,partial
1.6,-5.0,Healthcare,Startup,Africa,pilot
8.37,5.27,Manufacturing,SME,Asia,pilot
7.06,-1.77,Logistics,Startup,Asia,pilot
15.0,14.41,Logistics,SME,Europe,partial
5.23,5.83,Healthcare,SME,Asia,pilot
7.74,2.37,Manufacturing,Startup,North America,pilot
4.0,3.01,Finance,Startup,Africa,none
9.27,-2.98,Logistics,Startup,Europe,pilot
13.56,-5.0,Healthcare,Enterprise,South America,partial
18.1,10.94,Technology,SME,Oceania,partial
9.18,8.48,Manufacturing,SME,Oceania,pilot
11.77,2.93,Logistics,Enterprise,Asia,pilot
6.61,3.34,Healthcare,Startup,Europe,pilot
7.29,8.06,Finance,SME,Europe,partial
4.67,0.98,Healthcare,SME,Asia,partial
9.13,14.98,Finance,Enterprise,Asia,partial
0.45,0.73,Education,SME,South America,none
2.68,2.85,Education,SME,Europe,pilot
11.08,5.09,Education,SME,Asia,partial
5.64,-0.82,Retail,Startup,Asia,pilot
10.2,7.41,Manufacturing,Startup,Africa,partial
9.94,6.33,Healthcare,Enterprise,Asia,partial
6.7,15.02,Manufacturing,Startup,Europe,pilot
9.3,9.25,Technology,SME,Asia,pilot
16.36,1.39,Logistics,SME,North America,pilot
6.69,-0.52,Retail,Startup,Asia,pilot
3.83,-0.03,Education,Startup,Asia,pilot
11.07,2.33,Logistics,Startup,Europe,partial
7.73,-4.44,Finance,Startup,Asia,partial
14.13,9.6,Manufacturing,Startup,Africa,partial
10.57,2.31,Manufacturing,SME,Europe,pilot
0.0,1.34,Manufacturing,Startup,Asia,none
11.6,12.33,Manufacturing,Startup,Europe,pilot
5.02,4.07,Consulting,Startup,Asia,pilot
10.88,-0.27,Manufacturing,SME,Europe,partial
14.88,13.09,Finance,SME,South America,partial
8.14,1.5,Retail,Startup,Asia,pilot
12.99,14.66,Manufacturing,Startup,Asia,partial
8.91,3.3,Manufacturing,SME,South America,pilot
6.35,2.35,Retail,SME,South America,pilot
11.43,3.61,Education,Enterprise,Europe,partial
8.23,1.72,Manufacturing,SME,Asia,pilot
7.01,4.81,Retail,SME,South America,partial
10.31,2.61,Consulting,Enterprise,Africa,partial
14.04,14.06,Finance,Startup,Africa,partial
14.14,10.87,Retail,Startup,South America,partial
15.27,1.53,Manufacturing,Startup,Africa,partial
9.23,1.17,Manufacturing,SME,Europe,partial
8.75,10.43,Manufacturing,Startup,Europe,partial
7.54,8.31,Consulting,SME,South America,partial
6.48,-0.6,Manufacturing,Startup,Oceania,pilot
6.36,7.48,Finance,SME,Asia,pilot
12.99,12.33,Finance,SME,Europe,partial
11.28,-1.29,Agriculture,SME,South America,pilot
11.66,4.16,Finance,Startup,Asia,partial
7.86,3.58,Retail,SME,Europe,pilot
9.52,0.94,Healthcare,Enterprise,Asia,pilot
11.97,0.6,Education,Startup,Asia,partial
0.0,-5.0,Retail,Startup,Oceania,none
14.95,6.86,Technology,Enterprise,Asia,partial
5.99,7.98,Logistics,SME,Asia,pilot
11.46,7.08,Retail,Startup,Asia,partial
2.8,-4.68,Healthcare,Startup,Africa,pilot
6.45,1.21,Manufacturing,SME,Asia,pilot
5.38,0.09,Consulting,Startup,Africa,pilot
5.19,-2.62,Healthcare,Startup,Asia,partial
6.86,-2.95,Finance,Startup,Asia,pilot
10.77,3.16,Finance,Enterprise,Asia,partial
14.6,8.49,Healthcare,Startup,South America,partial
17.81,12.04,Healthcare,Enterprise,Europe,partial
17.57,5.08,Education,Enterprise,Oceania,partial
2.48,8.12,Agriculture,Startup,South America,none
7.18,6.5,Consulting,SME,Asia,pilot
7.68,8.89,Healthcare,Startup,North America,partial
8.97,3.52,Manufacturing,Startup,Asia,partial
8.37,6.85,Finance,Startup,Oceania,partial
9.53,5.81,Logistics,SME,Europe,none
14.77,1.41,Finance,Enterprise,Europe,partial
15.31,-2.1,Technology,SME,Asia,partial
11.55,-3.44,Technology,Enterprise,Europe,pilot
12.94,5.47,Technology,Startup,Asia,partial
4.13,1.9,Manufacturing,Startup,North America,pilot
3.36,3.61,Healthcare,Startup,Europe,pilot
11.23,9.28,Consulting,SME,Asia,partial
8.51,12.67,Education,Startup,Asia,partial
9.49,0.44,Healthcare,SME,Europe,pilot
10.17,4.27,Finance,Enterprise,Oceania,partial
4.66,9.35,Consulting,SME,Asia,pilot
9.34,3.89,Finance,Enterprise,South America,partial
13.69,15.12,Technology,Startup,Asia,partial
0.0,7.86,Education,Startup,Europe,none
6.45,1.97,Logistics,SME,Europe,pilot
7.49,4.8,Finance,Startup,Africa,pilot
14.15,10.13,Retail,Startup,Africa,partial
16.76,5.99,Technology,Enterprise,Europe,partial
12.28,4.29,Manufacturing,SME,Asia,partial
10.27,2.69,Finance,Startup,Africa,partial
12.52,3.15,Technology,Startup,Europe,partial
7.43,8.31,Retail,SME,Europe,partial
7.0,-3.78,Healthcare,SME,Africa,pilot
7.64,2.64,Retail,Startup,Oceania,pilot
8.54,0.24,Finance,SME,Oceania,pilot
10.94,12.16,Agriculture,Startup,Africa,partial
7.59,21.34,Finance,Startup,Asia,partial
6.3,6.6,Agriculture,Startup,Asia,pilot
17.57,10.92,Technology,Enterprise,Asia,full
7.88,-3.76,Manufacturing,Startup,Africa,pilot
17.42,10.98,Education,Startup,Europe,partial
8.04,-0.32,Agriculture,Startup,Asia,partial
1.36,3.48,Healthcare,Startup,Africa,none
13.65,9.21,Technology,SME,Africa,partial
4.61,4.23,Finance,Startup,Asia,pilot
6.49,10.97,Education,Startup,Asia,partial
17.13,14.22,Consulting,Enterprise,Europe,full
11.74,14.11,Finance,Startup,Africa,partial
3.6,-1.71,Logistics,SME,Asia,pilot
9.97,6.12,Manufacturing,Enterprise,Africa,pilot
8.69,-5.0,Education,SME,Asia,pilot
